Axis,Avr Acc up,Avr Acc down,Avr Gyr up,Avr Gyr down,Acc bias,Acc SF,Gyro bias,Gyro SF
X,9.80949790435023,-9.80401978333948,-0.004158105153629155,-0.004233804771315078,0.0027390605053749795,0.0006896779433525431,-0.004195954962472116,-0.9885097874633191
Y,9.820365203503282,-9.785967345923677,0.0012544322287930758,0.001078592898234289,0.017198928789802892,0.00032308925647743427,0.0011665125635136825,-0.9733098879202942
Z,9.808415982248672,-9.814066860358352,-0.0012276711497861358,-0.001451213488917985,-0.0028254390548401176,0.0011470838064807393,-0.0013394423193520604,-0.9660691947186755
